,state,year,lawtotal
0,Alabama,1991,15
1,Alabama,1992,16
2,Alabama,1993,16
3,Alabama,1994,16
4,Alabama,1995,16
5,Alabama,1996,16
6,Alabama,1997,16
7,Alabama,1998,16
8,Alabama,1999,16
9,Alabama,2000,11
10,Alabama,2001,11
11,Alabama,2002,11
12,Alabama,2003,11
13,Alabama,2004,11
14,Alabama,2005,11
15,Alabama,2006,11
16,Alabama,2007,11
17,Alabama,2008,11
18,Alabama,2009,11
19,Alabama,2010,11
20,Alabama,2011,11
21,Alabama,2012,10
22,Alabama,2013,10
23,Alabama,2014,10
24,Alabama,2015,10
25,Alabama,2016,10
26,Alabama,2017,10
27,Alabama,2018,10
28,Alabama,2019,10
29,Alabama,2020,10
30,Alaska,1991,10
31,Alaska,1992,11
32,Alaska,1993,11
33,Alaska,1994,8
34,Alaska,1995,8
35,Alaska,1996,8
36,Alaska,1997,8
37,Alaska,1998,8
38,Alaska,1999,7
39,Alaska,2000,7
40,Alaska,2001,7
41,Alaska,2002,7
42,Alaska,2003,4
43,Alaska,2004,4
44,Alaska,2005,4
45,Alaska,2006,4
46,Alaska,2007,4
47,Alaska,2008,4
48,Alaska,2009,4
49,Alaska,2010,4
50,Alaska,2011,4
51,Alaska,2012,4
52,Alaska,2013,3
53,Alaska,2014,3
54,Alaska,2015,3
55,Alaska,2016,3
56,Alaska,2017,3
57,Alaska,2018,3
58,Alaska,2019,3
59,Alaska,2020,3
60,Arizona,1991,12
61,Arizona,1992,12
62,Arizona,1993,13
63,Arizona,1994,11
64,Arizona,1995,12
65,Arizona,1996,12
66,Arizona,1997,12
67,Arizona,1998,12
68,Arizona,1999,11
69,Arizona,2000,13
70,Arizona,2001,13
71,Arizona,2002,13
72,Arizona,2003,13
73,Arizona,2004,13
74,Arizona,2005,13
75,Arizona,2006,13
76,Arizona,2007,13
77,Arizona,2008,13
78,Arizona,2009,13
79,Arizona,2010,8
80,Arizona,2011,8
81,Arizona,2012,8
82,Arizona,2013,8
83,Arizona,2014,8
84,Arizona,2015,8
85,Arizona,2016,8
86,Arizona,2017,8
87,Arizona,2018,8
88,Arizona,2019,8
89,Arizona,2020,8
90,Arkansas,1991,15
91,Arkansas,1992,15
92,Arkansas,1993,14
93,Arkansas,1994,14
94,Arkansas,1995,10
95,Arkansas,1996,10
96,Arkansas,1997,11
97,Arkansas,1998,11
98,Arkansas,1999,13
99,Arkansas,2000,13
100,Arkansas,2001,13
101,Arkansas,2002,13
102,Arkansas,2003,13
103,Arkansas,2004,13
104,Arkansas,2005,13
105,Arkansas,2006,13
106,Arkansas,2007,13
107,Arkansas,2008,13
108,Arkansas,2009,13
109,Arkansas,2010,13
110,Arkansas,2011,13
111,Arkansas,2012,13
112,Arkansas,2013,11
113,Arkansas,2014,11
114,Arkansas,2015,11
115,Arkansas,2016,11
116,Arkansas,2017,11
117,Arkansas,2018,11
118,Arkansas,2019,11
119,Arkansas,2020,11
120,California,1991,58
121,California,1992,57
122,California,1993,57
123,California,1994,69
124,California,1995,69
125,California,1996,69
126,California,1997,70
127,California,1998,70
128,California,1999,71
129,California,2000,85
130,California,2001,86
131,California,2002,93
132,California,2003,93
